laboratory,sample_id,collection_date,matrix,method,basis,analyte,result,unit,qualifier,reporting_limit,detection_limit,source_url,data_status
Vista Analytical Laboratories,EGLE-DELH-BIOSOLIDS-20181101,2018-11-01,Biosolids,Modified EPA 537 isotope dilution,dry,PFOS,2.68,ug/kg,,,,https://www.michigan.gov/pfasresponse/-/media/Project/Websites/egle/Documents/Programs/WRD/Biosolids/PFAS-Biosolids-Field-Report-A-Delhi-WWTP.pdf,Historical public study result; not current compliance data
Vista Analytical Laboratories,EGLE-DELH-BIOSOLIDS-20181101,2018-11-01,Biosolids,Modified EPA 537 isotope dilution,dry,PFOA,ND,ug/kg,U,0.85,,https://www.michigan.gov/pfasresponse/-/media/Project/Websites/egle/Documents/Programs/WRD/Biosolids/PFAS-Biosolids-Field-Report-A-Delhi-WWTP.pdf,Historical public study result; original value reported as less than 0.85 ug/kg
